GMT Time,Ancillary Price - DR-L - GB (£/MW/h),Month,Day,EFA Block,Volume Requirements Forecast - DR-L - GB (MW),Ancillary Volume Accepted - DR-L - GB (MW),"Day Ahead Price (EPEX, local) - GB (£/MWh)","Day Ahead Price (N2EX, local) - GB (£/MWh)",National Demand Forecast (NDF) - GB (MW),"Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)"
2023-02-08 03:00:00,17.4,2,3,1,80,61.0,136.0075,137.0425,26275.25,125.925
2023-02-08 07:00:00,15.02,2,3,2,80,72.0,142.2975,141.525,25925.0,144.075
2023-02-08 11:00:00,18.4,2,3,3,80,86.0,168.5,162.32999999999998,35867.75,197.98375
2023-02-08 15:00:00,15.47,2,3,4,80,5.0,133.825,127.89999999999999,32293.625,165.8375
2023-02-08 19:00:00,19.4,2,3,5,80,84.0,163.275,158.01999999999998,37174.0,216.65875
2023-02-08 23:00:00,8.94,2,3,6,80,70.0,145.125,146.8625,33827.0,170.3
2023-02-09 03:00:00,10.85,2,4,1,80,79.0,128.675,131.0275,25203.875,133.5
2023-02-09 07:00:00,10.67,2,4,2,80,75.0,136.4,138.9675,25318.875,145.225
2023-02-09 11:00:00,8.7,2,4,3,80,69.0,162.925,160.97,35483.75,159.25
2023-02-09 15:00:00,33.55,2,4,4,80,29.0,124.4,124.02000000000001,32457.0,118.4125
2023-02-09 19:00:00,10.0,2,4,5,80,69.0,161.7125,163.9075,38204.375,158.575
2023-02-09 23:00:00,6.0,2,4,6,80,88.0,150.0375,152.4675,34845.25,153.61875
2023-02-10 03:00:00,9.0,2,5,1,80,87.0,136.2125,133.1175,25743.875,129.425
2023-02-10 07:00:00,12.0,2,5,2,80,89.0,134.775,131.235,25290.75,133.7875
2023-02-10 11:00:00,9.0,2,5,3,80,88.0,166.0625,163.92000000000002,34727.625,167.25
2023-02-10 15:00:00,10.88,2,5,4,80,28.0,118.65,120.89750000000001,33685.875,127.0375
2023-02-10 19:00:00,8.97,2,5,5,80,89.0,150.4875,152.20499999999998,36218.5,172.0
2023-02-10 23:00:00,3.0,2,5,6,80,84.0,141.95,141.535,31710.5,163.975
2023-02-11 03:00:00,3.0,2,6,1,80,85.0,125.5,127.17500000000001,23380.125,125.90875
2023-02-11 07:00:00,3.0,2,6,2,80,86.0,123.3375,125.9875,21699.75,135.5
2023-02-11 11:00:00,6.0,2,6,3,80,85.0,140.1375,139.14999999999998,29168.5,164.9
2023-02-11 15:00:00,7.26,2,6,4,80,89.0,137.7625,140.935,30302.125,119.91875
2023-02-11 19:00:00,6.0,2,6,5,80,88.0,155.3,161.585,34202.125,150.875
2023-02-11 23:00:00,12.0,2,6,6,80,83.0,149.0,146.95999999999998,30814.25,141.60625
2023-02-12 03:00:00,10.27,2,7,1,80,83.0,138.45,133.4,23747.375,131.3625
2023-02-12 07:00:00,10.39,2,7,2,80,83.0,127.75,127.41999999999999,21946.75,129.375
2023-02-12 11:00:00,13.22,2,7,3,80,90.0,136.025,137.32999999999998,27829.0,132.65
2023-02-12 15:00:00,22.32,2,7,4,80,90.0,139.0,136.0,30056.25,140.0125
2023-02-12 19:00:00,14.87,2,7,5,80,90.0,163.575,156.0,35186.5,155.20625
2023-02-12 23:00:00,16.19,2,7,6,80,60.0,148.325,140.0,30581.75,140.15
